Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
6.10.2020.|8:15-9:45|028|Uvod u predmet,  objektni pristup|p||Miran Pobar
8.10.2020.||Online|"Obveze pri vježbama, definiranje potrebnog
predznanja, software"|v||Miran Pobar
13.10.2020.|8:15-9:45|028|Klase, privatni atributi i metode, poziv klase|p||Miran Pobar
15.10.2020.|"10:15-11:45 
12:15-13:45"|366|Objektni pristup, klase, privatni atributi i metode, poziv klase|v||Miran Pobar
20.10.2020.|8:15-9:45|028|Konstruktori, destruktori, preopterećivanje|p||Miran Pobar
22.10.2020.|"10:15-11:45 
12:15-13:45"|366|Konstruktori, destruktori, preopterećivanje|v||Miran Pobar
27.10.2020.|8:15-9:45|028|OOM, UML|p||Miran Pobar
29.10.2020.|10:15-11:45|366/Online|Alat za modeliranje, projekti, dijagrami|v||Miran Pobar
3.11.2020.|8:15-9:45|028|Dijagram klasa, dijagram objekata|p||Miran Pobar
5.11.2020.|"10:15-11:45 
12:15-13:45"|366|Dijagram klasa, dijagram objekata|v||Miran Pobar
10.11.2020.|8:15-9:45|028/Online|"Niz klasa, dinamička def. klasa, this, složene
klase."|p||Miran Pobar
12.11.2020.|"10:15-11:45 
12:15-13:45"|366|Niz klasa, dinamička def. klasa, this, složene klase.|v||Miran Pobar
17.11.2020.|8:15-9:45|028/Online|"Predlošci i vektori, copy konstruktor, ref. na
klasu"|p||Miran Pobar
19.11.2020.|"10:15-11:45 
12:15-13:45"|366|Predlošci i vektori, copy konstruktor, ref. na klasu|v||Miran Pobar
24.11.2020.|8:15-9:45|028/Online|Dijagram aktivnosti i dijagram stanja|p||Miran Pobar
26.11.2020.|"10:15-11:45 
12:15-13:45"|366|Dijagram aktivnosti i dijagram stanja|v||Miran Pobar
1.12.2020.|8:15-9:45|028/Online|"Modeliranje interakcije objekata: dijagram
slijeda i dijagram komunikacije"|p||Miran Pobar
3.12.2020.|"10:15-11:45 
12:15-13:45"|366|Dijagram slijeda i dijagram komunikacije|v||Miran Pobar
8.12.2020.|8:15-9:45|028/Online|"Nasljeđivanje, nadjačavanje i višestruko
nasljeđivanje."|p||Miran Pobar
10.12.2020.|"10:15-11:45 
12:15-13:45"|366|Teorijski kolokvij|v||Miran Pobar
10.12.2020.|"10:15-11:45 
12:15-13:45"|366|Teorijski kolokvij|k|30|Miran Pobar
15.12.2020.|8:15-9:45|028/Online|Apstraktne klase, polimorfizam, virtualne klase|p||Miran Pobar
17.12.2020.|"10:15-11:45 
12:15-13:45"|366|Praktični kolokvij|v||Miran Pobar
17.12.2020.|"10:15-11:45 
12:15-13:45"|366|Praktični kolokvij|k|30|Miran Pobar
22.12.2020.|8:15-9:45|028/Online|"Predlošci funkcija i klasa. Preopterećivanje
operatora."|p||Miran Pobar
12.1.2021.|8:15-9:45|028/Online|STL kontejneri. STL iteratori i STL algorithm|p||Miran Pobar
14.1.2021.|"10:15-11:45 
12:15-13:45"|366|Nasljeđivanje, nadjačavanje i višestruko nasljeđivanje.|v||Miran Pobar
19.1.2021.||Online|Praktikum, definiranje projektnih zadataka|p||Miran Pobar
21.1.2021.|"10:15-11:45 
12:15-13:45"|366|Apstraktne klase, polimorfizam, virtualne klase; STL|v||Miran Pobar
26.1.2021.||Online|Predstavljanje i analiza projektnih zadataka|p||Miran Pobar
28.1.2021.|"10:15-11:45 
12:15-13:45"|366|Predlošci funkcija i klasa. Preopterećivanje operatora.|v||Miran Pobar
11.2.2021.|00:00-23:59|366|Završni ispit (1. redovni rok)|z|40|Miran Pobar
25.2.2021.|00:00-23:59|366|Završni ispit (2. redovni rok)|z||Miran Pobar
25.3.2021.|00:00-23:59|366|Završni ispit (1. izvanredni rok)|z||Miran Pobar
9.9.2021.|00:00-23:59|366|Završni ispit (2. izvanredni rok)|z||Miran Pobar
|||||0|
