Datum|Vrijeme|Prostor*|Tema|Nastava|Bodovi|Izvođač
5.10.|10:15-11:45|S32|"Uvod u kolegij. O strukturi matematike. Definicije, aksiomi i
teoremi."|V||Milena Sošić
5.10.|12:15-13:45|S32|"Uvod u kolegij. O strukturi matematike. Definicije, aksiomi i
teoremi."|v||Milena Sošić
5.10.|14:15-15:45|S32|Osnove matematičke logike.|p||Milena Sošić
12.10.|10:15-11:45|S32|"Ispitivanje istinitosti složenih
sudova."|v||Milena Sošić
12.10.|12:15-13:45|S32|"Ispitivanje istinitosti složenih
sudova."|v||Milena Sošić
12.10.|14:15-15:45|S32|Skupovi.|p||Milena Sošić
19.10.|10:15-11:45|S32|Operacije sa skupovima.|v||Milena Sošić
19.10.|12:15-13:45|S32|Operacije sa skupovima.|v||Milena Sošić
19.10.|14:15-15:45|S32|Kartezijev produkt skupova.|p||Milena Sošić
26.10.|10:15-11:45|S32|"Partitivni skup. Particija skupa.
Kartezijev produkt skupova."|v||Milena Sošić
26.10.|12:15-13:45|S32|"Partitivni skup. Particija skupa.
Kartezijev produkt skupova."|v||Milena Sošić
26.10.|14:15-15:45|S32|Relacije. Binarne relacije.|p||Milena Sošić
2.11.|10:15-11:45|S32|"Ispitivanje i analiza svojstva
binarnih relacija."|v||Milena Sošić
2.11.|12:15-13:45|S32|"Ispitivanje i analiza svojstva
binarnih relacija."|v||Milena Sošić
2.11.|14:15-15:45|S32|Funkcije.|P||Milena Sošić
9.11.|10:15-11:45|S32|"Ispitivanje surjektivnosti, injektivnosti i bijektivnosti
funkcija."|v||Milena Sošić
9.11.|12:15-13:45|S32|"Ispitivanje surjektivnosti, injektivnosti i bijektivnosti
funkcija."|v||Milena Sošić
9.11.|14:15-15:45|S32|"1.  test
Kompozicija funkcija. Inverzne funkcije."|P||Milena Sošić
9.11.|14:15-15:45|S32|"1.  test
Kompozicija funkcija. Inverzne funkcije."|kv|10|Milena Sošić
16.11.|10:15-11:45|S32|"Određivanje domene složenih funkcija i njihovih odgovarajućih
inverznih funkcija."|v||Milena Sošić
16.11.|12:15-13:45|S32|"Određivanje domene složenih funkcija i njihovih odgovarajućih
inverznih funkcija."|v||Milena Sošić
16.11.|14:15-15:45|S32|"Ekvipotentni skupovi. Konačni i
beskonačni skupovi. Kardinalnost."|P||Milena Sošić
23.11.|10:15-11:45|S32|"Prirodni brojevi. Matematička
indukcija."|v||Milena Sošić
23.11.|12:15-13:45|S32|"Prirodni brojevi. Matematička
indukcija."|v||Milena Sošić
23.11.|14:15-15:45|S32|1. kolokvij|P||Milena Sošić
23.11.|14:15-15:45|S32|1. kolokvij|k|25|Milena Sošić
30.11.|10:15-11:45|S32|"Matrice. Računske operacije s
matricama."|v||Milena Sošić
30.11.|12:15-13:45|S32|"Matrice. Računske operacije s
matricama."|v||Milena Sošić
30.11.|14:15-15:45|S32|"Determinante. Svojstva
determinanti."|P||Milena Sošić
7.12.|10:15-11:45|S32|"Razvoj determinante po
retku/stupcu."|v||Milena Sošić
7.12.|12:15-13:45|S32|"Razvoj determinante po
retku/stupcu."|v||Milena Sošić
7.12.|14:15-15:45|S32|Sarusovo pravilo.|P||Milena Sošić
14.12.|10:15-11:45|S32|Izračunavanje inverza matrice.|v||Milena Sošić
14.12.|12:15-13:45|S32|Izračunavanje inverza matrice.|v||Milena Sošić
14.12.|14:15-15:45|S32|Matrične jednadžbe.|P||Milena Sošić
21.12.|10:15-11:45|S32|"Definicija i izračunavanje ranga
matrice."|v||Milena Sošić
21.12.|12:15-13:45|S32|"Definicija i izračunavanje ranga
matrice."|v||Milena Sošić
21.12.|14:15-15:45|S32|"2.  test
Sustav linearnih jednadžbi. Egzistencija rješenja."|P||Milena Sošić
21.12.|14:15-15:45|S32|"2.  test
Sustav linearnih jednadžbi. Egzistencija rješenja."|kv|10|Milena Sošić
11.1.|10:15-11:45|S32|"Rješavanje sustava linearnih
jednadžbi Gaussovom metodom."|v||Milena Sošić
11.1.|12:15-13:45|S32|"Rješavanje sustava linearnih
jednadžbi Gaussovom metodom."|v||Milena Sošić
11.1.|14:15-15:45|S32|Sustavi linearnih nejednadžbi.|P||
18.1.|10:15-11:45|S32|"Rješavanje sustava linearnih
nejednadžbi."|v||Milena Sošić
18.1.|12:15-13:45|S32|"Rješavanje sustava linearnih
nejednadžbi."|v||Milena Sošić
18.1.|14:15-15:45|S32|2. kolokvij|P||Milena Sošić
18.1.|14:15-15:45|S32|2. kolokvij|k|25|Milena Sošić
25.1.|10:15-11:45|S32|Rješavanje problemskih zadataka.|v||Milena Sošić
25.1.|12:15-13:45|S32|Rješavanje problemskih zadataka.|v||Milena Sošić
25.1.|14:15-15:45|S32|Popravni kolokvij|P||Milena Sošić
10.2.2021.|10:30-18:30|S32|Završni ispit (1. redovni rok)|z|30|Milena Sošić
24.2.2021.|10:30-18:30|S32|Završni ispit (2. redovni rok)|z||Milena Sošić
15.3.2021.|10:30-18:30|S32|Završni ispit (1. izvanredni rok)|z||Milena Sošić
6.9.2021.|10:30-18:30|S32|Završni ispit (2. izvanredni rok)|z||Milena Sošić
|||||0|
